Designator,Description,Center-X(mm),Center-Y(mm),Value

"C1","System","124.553","199.285","0.1uf"
"C1","Capacitor (Semiconductor SIM Model)","36.7","197.5","0.1uf"
"C2","System","112.45","196.8","0.1uf"
"C2","Capacitor (Semiconductor SIM Model)","60.7","197.5","0.1uf"
"C3","System","126.13","186.5","0.1uf"
"C3","Capacitor (Semiconductor SIM Model)","84.7","197.5","0.1uf"
"C4","System","112.45","185.5","0.1uf"
"C4","Capacitor (Semiconductor SIM Model)","108.7","197.5","0.1uf"
"C5","System","121.1","181.5","20pF,0603"
"C5","Capacitor (Semiconductor SIM Model)","132.7","197.5","0.1uf"
"C6","System","115.737","181.5","20pF,0603"
"C6","Capacitor (Semiconductor SIM Model)","156.7","197.5","0.1uf"
"C7","Capacitor (Semiconductor SIM Model)","180.7","197.5","0.1uf"
"C8","System","141.5","210","10uf"
"C8","Capacitor (Semiconductor SIM Model)","204.7","197.5","0.1uf"
"C9","System","143.7","210.65","0.1uf"
"C9","Capacitor (Semiconductor SIM Model)","204.7","173.5","0.1uf"
"C10","System","150.517","215.2","0.1uf"
"C10","Capacitor (Semiconductor SIM Model)","180.7","173.5","0.1uf"
"C11","System","152.517","214.56","10uf"
"C11","Capacitor (Semiconductor SIM Model)","156.7","173.5","0.1uf"
"C12","Capacitor (Semiconductor SIM Model)","132.7","173.5","0.1uf"
"C12","Polarized Capacitor (Radial)","132.8","212.4",""
"C13","System","112.45","186.8","0.1uf"
"C13","Capacitor (Semiconductor SIM Model)","108.7","173.5","0.1uf"
"C14","Capacitor (Semiconductor SIM Model)","84.7","173.5","0.1uf"
"C15","Capacitor (Semiconductor SIM Model)","60.7","173.5","0.1uf"
"C16","Capacitor (Semiconductor SIM Model)","36.7","173.5","0.1uf"
"C17","Capacitor (Semiconductor SIM Model)","204.7","149.5","0.1uf"
"C18","Capacitor (Semiconductor SIM Model)","180.7","149.5","0.1uf"
"C19","Capacitor (Semiconductor SIM Model)","156.7","149.5","0.1uf"
"C20","Capacitor (Semiconductor SIM Model)","132.7","149.5","0.1uf"
"C21","Capacitor (Semiconductor SIM Model)","108.7","149.5","0.1uf"
"C22","Capacitor (Semiconductor SIM Model)","84.7","149.5","0.1uf"
"C23","Capacitor (Semiconductor SIM Model)","60.7","149.5","0.1uf"
